location,coordinates,AQI
"Gulf Elementary School, Los Angeles","33.7854002, -118.272707",85
"Broad Ave Elementary School, Los Angeles","33.787141, -118.2613628",81
"Point Fermin Magnet Elementary School, Los Angeles","33.7050194, -118.2939602",81
"Cabrillo Elementary School, Los Angeles","33.7373804, -118.2933451", 80
"Palms Elementary School, Los Angeles","34.0255764, -118.407104", 80
"President Elementary School, Los Angeles","33.8043187, -118.302315", 80
"Weigand Elementary School, Los Angeles","33.9414186, -118.2301511", 78
"42nd St Elementary School, Los Angeles","34.0063449, -118.321771", 77
"Compton Elementary School, Los Angeles","34.0549076, -118.242643", 77
"Hamilton HS, Los Angeles","34.034135, -118.391615", 77
"La Salle Elementary School, Los Angeles","33.9576657, -118.3061415", 77
"Normandie Elementary School, Los Angeles","34.002929, -118.299", 77
"Small World Learning Center, Los Angeles","33.7988558, -118.2641958",77
"Taper Elementary School, Los Angeles","33.76254, -118.298393", 77
"Wilmington Pk Elementary School, Los Angeles","33.7911608, -118.2633204", 77
"Woll Drive, Los Angeles","34.2369558, -118.6073379",77
"122nd St Elementary School, Los Angeles","33.9215946, -118.2673921", 75
"Budlong Elementary School, Los Angeles","33.9867691, -118.2954464", 75
"Woodcrest Elementary School, Los Angeles","33.937696, -118.2959261", 75
"Avalon Gardens Elementary School, Los Angeles","33.9049323, -118.2692971", 74
"Crescent Hts Bl EEC, Los Angeles","34.0569558, -118.3700705", 74
"Graham Elementary School, Los Angeles","33.961479, -118.2378897", 74
"South Shores Magnet Elementary School, Los Angeles","33.722693, -118.3222125", 74
"Virginia Elementary School, Los Angeles","34.0280051, -118.3397028", 74
"Knox Elementary School, Dr Owen Lloyd, Los Angeles","33.954806, -118.274214", 73
"59th St Elementary School, Los Angeles","33.986381, -118.3200659", 72
"7th St Elementary School, Los Angeles","33.7378929, -118.2973269", 72
"Ken Malloy Harbor Regional Park, Los Angeles","33.783516, -118.294876",72
"Marvin Elementary School, Los Angeles","34.035593, -118.364317", 72
"Osage Avenue, Los Angeles","33.9657377, -118.3787413",72
"Point Fermin, Los Angeles","33.7050194, -118.2939602",72
"Russell Elementary School, Los Angeles","33.9610357, -118.2518857", 72
"West 52nd Street, Los Angeles","33.9950822, -118.3089505",72
"Grand View Elementary School, Los Angeles","34.0023408, -118.4296175", 71
"Marlton Elementary School, Los Angeles","34.0549076, -118.242643", 71
"W 14th St & S Meyler, Los Angeles","33.7315361, -118.2967985",71
"5261 Thornburn St, Los Angeles","33.9701504, -118.3718626",70
"Estrella Elementary School, Los Angeles","33.9905378, -118.2733684", 70
"Lenicia Weemes Elementary School, Los Angeles","34.0215313, -118.2964984", 70
